period;cc_id;item_id;amount_fact
2025-01;1;1;62500
2025-01;1;3;48400
2025-01;1;4;52100
2025-01;1;6;60100
2025-01;1;7;63600
2025-01;1;9;70700
2025-01;1;10;78000
2025-01;1;12;92500
2025-01;1;13;64800
2025-01;1;15;73600
2025-01;1;16;78600
2025-01;1;19;380400
2025-01;1;21;452100
2025-01;1;22;488800
2025-01;1;24;361400
2025-01;1;25;383000
2025-01;2;2;66100
2025-01;2;3;73000
2025-01;2;5;87100
2025-01;2;6;61100
2025-01;2;8;69700
2025-01;2;9;74600
2025-01;2;11;82400
2025-01;2;12;86400
2025-01;2;14;103100
2025-01;2;15;111500
2025-01;2;18;87700
2025-01;2;20;410500
2025-01;2;21;429100
2025-01;2;23;489400
2025-01;2;24;529800
2025-01;3;1;65300
2025-01;3;2;70000
2025-01;3;4;77600
2025-01;3;5;81600
2025-01;3;7;97600
2025-01;3;8;105800
2025-01;3;10;78700
2025-01;3;11;83600
2025-01;3;13;93400
2025-01;3;14;97700
2025-01;3;17;121100
2025-01;3;19;381800
2025-01;3;20;404800
2025-01;3;22;454800
2025-01;3;23;474800
2025-01;3;25;516000
2025-01;4;1;99200
2025-01;4;3;74000
2025-01;4;4;78800
2025-01;4;6;88300
2025-01;4;7;92500
2025-01;4;9;106100
2025-01;4;10;115100
2025-01;4;12;86600
2025-01;4;13;91900
2025-01;4;16;108100
2025-01;4;18;117700
2025-01;4;19;539200
2025-01;4;21;627600
2025-01;4;22;435600
2025-01;4;24;486700
2025-01;4;25;515700
2025-01;5;2;99300
2025-01;5;3;107900
2025-01;5;5;81400
2025-01;5;6;86500
2025-01;5;8;97700
2025-01;5;9;102200
2025-01;5;11;111500
2025-01;5;12;121700
2025-01;5;15;98600
2025-01;5;17;110400
2025-01;5;18;117100
2025-01;5;20;534200
2025-01;5;21;556000
2025-01;5;23;653200
2025-01;5;24;702200
2025-01;6;1;91200
2025-01;6;2;95500
2025-01;6;4;104500
2025-01;6;5;114200
2025-01;6;7;133400
2025-01;6;8;92800
2025-01;6;10;104100
2025-01;6;11;110500
2025-01;6;14;125200
2025-01;6;16;147300
2025-01;6;17;158500
2025-01;6;19;487700
2025-01;6;20;514600
2025-01;6;22;567100
2025-01;6;23;589900
2025-01;6;25;666400
2025-01;7;1;86300
2025-01;7;3;97100
2025-01;7;4;103100
2025-01;7;6;112400
2025-01;7;7;117200
2025-01;7;9;138200
2025-01;7;10;148800
2025-01;7;13;115200
2025-01;7;15;127200
2025-01;7;16;132400
2025-01;7;18;149700
2025-01;7;19;678100
2025-01;7;21;504100
2025-01;7;22;532100
2025-01;7;24;592600
2025-01;7;25;616000
2025-01;8;2;128400
2025-01;8;3;138300
2025-01;8;5;101800
2025-01;8;6;107500
2025-01;8;8;118800
2025-01;8;9;123700
2025-01;8;12;151200
2025-01;8;14;112600
2025-01;8;15;118900
2025-01;8;17;132600
2025-01;8;18;137900
2025-01;8;20;625100
2025-01;8;21;678900
2025-01;8;23;784200
2025-01;8;24;542100
2025-01;9;1;110200
2025-01;9;2;115000
2025-01;9;4;130400
2025-01;9;5;140800
2025-01;9;7;104900
2025-01;9;8;110900
2025-01;9;11;128900
2025-01;9;13;139200
2025-01;9;14;151300
2025-01;9;16;175000
2025-01;9;17;121000
2025-01;9;19;564200
2025-01;9;20;596200
2025-01;9;22;642900
2025-01;9;23;666900
2025-01;9;25;778100
2025-01;10;1;103000
2025-01;10;3;115100
2025-01;10;4;119900
2025-01;10;6;129800
2025-01;10;7;141100
2025-01;10;10;113100
2025-01;10;12;125600
2025-01;10;13;132800
2025-01;10;15;143400
2025-01;10;16;148800
2025-01;10;18;173700
2025-01;10;19;782500
2025-01;10;21;569500
2025-01;10;22;598900
2025-01;10;24;656000
2025-01;10;25;680200
2025-01;11;2;152300
2025-01;11;3;105500
2025-01;11;5;117500
2025-01;11;6;124300
2025-01;11;9;139400
2025-01;11;11;162900
2025-01;11;12;174800
2025-01;11;14;127400
2025-01;11;15;133900
2025-01;11;17;146900
2025-01;11;18;152400
2025-01;11;20;719300
2025-01;11;21;773100
2025-01;11;23;571600
2025-01;11;24;601500
2025-01;12;1;126000
2025-01;12;2;130800
2025-01;12;4;153200
2025-01;12;5;164300
2025-01;12;8;126200
2025-01;12;10;138400
2025-01;12;11;143700
2025-01;12;13;161600
2025-01;12;14;173900
2025-01;12;16;128700
2025-01;12;17;135400
2025-01;12;19;630600
2025-01;12;20;654100
2025-01;12;22;702200
2025-01;12;23;760800
2025-01;12;25;874300
2025-01;13;1;119400
2025-01;13;3;131200
2025-01;13;4;136300
2025-01;13;7;165100
2025-01;13;9;122200
2025-01;13;10;128800
2025-01;13;12;142900
2025-01;13;13;148300
2025-01;13;15;159300
2025-01;13;16;172600
2025-01;13;18;198600
2025-01;13;19;575300
2025-01;13;21;635500
2025-01;13;22;669800
2025-01;13;24;719000
2025-01;14;2;117000
2025-01;14;3;123300
2025-01;14;6;142200
2025-01;14;8;152900
2025-01;14;9;165800
2025-01;14;11;190800
2025-01;14;12;131700
2025-01;14;14;145500
2025-01;14;15;153500
2025-01;14;17;164800
2025-01;14;18;170600
2025-01;14;20;833200
2025-01;14;21;891300
2025-01;14;23;645900
2025-01;15;1;148000
2025-01;15;2;160500
2025-01;15;5;127600
2025-01;15;7;141200
2025-01;15;8;148900
2025-01;15;10;160100
2025-01;15;11;165800
2025-01;15;13;192900
2025-01;15;14;206400
2025-01;15;16;149600
2025-01;15;17;157100
2025-01;15;19;720200
2025-01;15;20;745600
2025-01;15;22;834700
2025-01;15;25;659400
2025-02;1;2;57700
2025-02;1;3;61200
2025-02;1;5;71600
2025-02;1;6;78300
2025-02;1;8;59900
2025-02;1;9;64100
2025-02;1;11;73200
2025-02;1;12;77100
2025-02;1;14;85000
2025-02;1;15;93300
2025-02;1;18;76600
2025-02;1;20;363200
2025-02;1;21;386700
2025-02;1;23;423300
2025-02;1;24;442100
2025-02;2;1;55700
2025-02;2;2;59800
2025-02;2;4;68700
2025-02;2;5;72300
2025-02;2;7;80200
2025-02;2;8;88100
2025-02;2;10;104100
2025-02;2;11;72800
2025-02;2;13;82300
2025-02;2;14;87800
2025-02;2;17;100700
2025-02;2;19;501700
2025-02;2;20;541700
2025-02;2;22;399600
2025-02;2;23;423000
2025-02;2;25;469000
2025-02;3;1;82100
2025-02;3;3;97400
2025-02;3;4;68200
2025-02;3;6;77500
2025-02;3;7;82700
2025-02;3;9;91100
2025-02;3;10;95400
2025-02;3;12;113400
2025-02;3;13;122600
2025-02;3;16;96000
2025-02;3;18;106700
2025-02;3;19;468000
2025-02;3;21;532600
2025-02;3;22;575800
2025-02;3;24;430500
2025-02;3;25;455600
2025-02;4;2;85000
2025-02;4;3;89100
2025-02;4;5;106300
2025-02;4;6;115000
2025-02;4;8;85300
2025-02;4;9;90500
2025-02;4;11;100800
2025-02;4;12;105400
2025-02;4;15;130100
2025-02;4;17;97400
2025-02;4;18;103200
2025-02;4;20;486100
2025-02;4;21;506900
2025-02;4;23;549900
2025-02;4;24;598800
2025-02;5;1;79400
2025-02;5;2;84300
2025-02;5;4;94100
2025-02;5;5;98500
2025-02;5;7;112700
2025-02;5;8;122100
2025-02;5;10;91600
2025-02;5;11;97100
2025-02;5;14;113900
2025-02;5;16;123700
2025-02;5;17;134800
2025-02;5;19;658200
2025-02;5;20;456500
2025-02;5;22;509100
2025-02;5;23;539100
2025-02;5;25;583800
2025-02;6;1;113300
2025-02;6;3;85200
2025-02;6;4;90400
2025-02;6;6;101800
2025-02;6;7;106400
2025-02;6;9;115800
2025-02;6;10;126300
2025-02;6;13;102000
2025-02;6;15;114000
2025-02;6;16;120800
2025-02;6;18;131000
2025-02;6;19;572200
2025-02;6;21;671200
2025-02;6;22;721100
2025-02;6;24;526900
2025-02;6;25;555100
2025-02;7;2;107300
2025-02;7;3;117200
2025-02;7;5;136700
2025-02;7;6;94900
2025-02;7;8;106200
2025-02;7;9;112600
2025-02;7;12;127400
2025-02;7;14;149600
2025-02;7;15;160900
2025-02;7;17;117700
2025-02;7;18;124100
2025-02;7;20;573500
2025-02;7;21;596200
2025-02;7;23;672700
2025-02;7;24;724200
2025-02;8;1;98300
2025-02;8;2;104400
2025-02;8;4;113500
2025-02;8;5;118300
2025-02;8;7;139200
2025-02;8;8;149700
2025-02;8;11;115700
2025-02;8;13;127600
2025-02;8;14;132700
2025-02;8;16;149900
2025-02;8;17;161500
2025-02;8;19;503500
2025-02;8;20;531100
2025-02;8;22;590800
2025-02;8;23;613800
2025-02;8;25;661200
2025-02;9;1;138700
2025-02;9;3;101900
2025-02;9;4;107500
2025-02;9;6;118700
2025-02;9;7;123500
2025-02;9;10;150500
2025-02;9;12;112000
2025-02;9;13;118100
2025-02;9;15;131500
2025-02;9;16;136800
2025-02;9;18;147400
2025-02;9;19;672300
2025-02;9;21;775700
2025-02;9;22;536000
2025-02;9;24;593900
2025-02;9;25;626800
2025-02;10;2;130000
2025-02;10;3;140300
2025-02;10;5;104500
2025-02;10;6;110400
2025-02;10;9;128000
