item_id;code;name;type
1;ITM-001;ФОТ;OPEX
2;ITM-002;Налоги и взносы;OPEX
3;ITM-003;Аренда;OPEX
4;ITM-004;Связь и интернет;OPEX
5;ITM-005;Облачные сервисы;OPEX
6;ITM-006;Маркетинг digital;OPEX
7;ITM-007;Маркетинг offline;OPEX
8;ITM-008;Командировки;OPEX
9;ITM-009;Обучение персонала;OPEX
10;ITM-010;Подрядчики;OPEX
11;ITM-011;Транспортные расходы;OPEX
12;ITM-012;Складские услуги;OPEX
13;ITM-013;Ремонт помещений;OPEX
14;ITM-014;Канцелярия;OPEX
15;ITM-015;Юридические услуги;OPEX
16;ITM-016;Консалтинг;OPEX
17;ITM-017;Лицензии ПО;OPEX
18;ITM-018;Поддержка 1С;OPEX
19;ITM-019;Оборудование серверное;CAPEX
20;ITM-020;Оборудование рабочих мест;CAPEX
21;ITM-021;Модернизация склада;CAPEX
22;ITM-022;CRM внедрение;CAPEX
23;ITM-023;ERP доработка;CAPEX
24;ITM-024;Ремонт капитальный;CAPEX
25;ITM-025;Автоматизация производства;CAPEX
