period;cc_id;item_id;amount_plan
2025-01;1;1;52500
2025-01;1;3;56300
2025-01;1;4;58200
2025-01;1;6;62000
2025-01;1;7;63900
2025-01;1;9;67700
2025-01;1;10;69600
2025-01;1;12;73400
2025-01;1;13;75300
2025-01;1;15;79100
2025-01;1;16;81000
2025-01;1;18;84800
2025-01;1;19;364000
2025-01;1;21;379900
2025-01;1;22;387900
2025-01;1;24;403800
2025-01;1;25;411800
2025-01;2;2;63300
2025-01;2;3;65200
2025-01;2;5;69100
2025-01;2;6;71000
2025-01;2;8;74900
2025-01;2;9;76900
2025-01;2;11;80800
2025-01;2;12;82700
2025-01;2;14;86600
2025-01;2;15;88500
2025-01;2;17;92400
2025-01;2;18;94300
2025-01;2;20;412600
2025-01;2;21;420700
2025-01;2;23;437000
2025-01;2;24;445200
2025-01;3;1;70200
2025-01;3;2;72200
2025-01;3;4;76100
2025-01;3;5;78100
2025-01;3;7;82000
2025-01;3;8;84000
2025-01;3;10;87900
2025-01;3;11;89900
2025-01;3;13;93900
2025-01;3;14;95800
2025-01;3;16;99800
2025-01;3;17;101800
2025-01;3;19;444000
2025-01;3;20;452300
2025-01;3;22;468900
2025-01;3;23;477200
2025-01;3;25;493800
2025-01;4;1;78700
2025-01;4;3;82700
2025-01;4;4;84700
2025-01;4;6;88700
2025-01;4;7;90700
2025-01;4;9;94700
2025-01;4;10;96700
2025-01;4;12;100700
2025-01;4;13;102700
2025-01;4;15;106600
2025-01;4;16;108600
2025-01;4;18;112600
2025-01;4;19;481400
2025-01;4;21;498100
2025-01;4;22;506500
2025-01;4;24;523300
2025-01;4;25;531600
2025-01;5;2;88700
2025-01;5;3;90700
2025-01;5;5;94700
2025-01;5;6;96700
2025-01;5;8;100700
2025-01;5;9;102700
2025-01;5;11;106700
2025-01;5;12;108700
2025-01;5;14;112700
2025-01;5;15;114700
2025-01;5;17;118700
2025-01;5;18;120700
2025-01;5;20;523700
2025-01;5;21;532100
2025-01;5;23;548900
2025-01;5;24;557300
2025-01;6;1;94000
2025-01;6;2;96000
2025-01;6;4;100000
2025-01;6;5;102000
2025-01;6;7;105900
2025-01;6;8;107900
2025-01;6;10;111900
2025-01;6;11;113900
2025-01;6;13;117800
2025-01;6;14;119800
2025-01;6;16;123800
2025-01;6;17;125800
2025-01;6;19;544900
2025-01;6;20;553300
2025-01;6;22;569900
2025-01;6;23;578300
2025-01;6;25;595000
2025-01;7;1;100400
2025-01;7;3;104400
2025-01;7;4;106300
2025-01;7;6;110200
2025-01;7;7;112200
2025-01;7;9;116100
2025-01;7;10;118100
2025-01;7;12;122000
2025-01;7;13;123900
2025-01;7;15;127800
2025-01;7;16;129800
2025-01;7;18;133700
2025-01;7;19;569800
2025-01;7;21;586200
2025-01;7;22;594500
2025-01;7;24;610900
2025-01;7;25;619100
